vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
m_1932,0,2174,34.62465501379945,9.407168049607238,15663.548771948834,15919.464812039627,15702.358662293227,16022.354929325042,0.016473052113564896,3.0550084325973145e-14,3.434850744701718e-05,5.4788120934781035e-17,lognorm
m_1932,1,2786,33.45010768126346,7.2951213665669545,18956.852372957153,18983.03632930677,18918.694438903418,19150.812617603122,4.169025272469822e-05,2.052884028163897e-11,0.0003709938447491076,1.049568744657567e-14,gamma
m_1932,2,2513,32.75368085953044,7.818996133649256,17149.50948425685,17471.836401731707,17207.744585405722,17747.391299023697,0.0017308066115211348,1.4058560410404837e-11,0.0006284036571095292,9.346593989850673e-19,lognorm
m_1932,3,2484,36.19444444444444,8.726823073458531,17861.643974129875,17815.96876088273,17787.809261483304,17948.18604102677,3.8122390882571544e-11,5.789782981722316e-06,1.0004648373171116e-06,2.963090516329798e-11,gamma
m_1932,4,2649,41.388070970177424,9.585817962926706,19347.008615323455,19496.524746039573,19344.78149641333,19728.31481251285,0.0021486872149298073,5.883695445836523e-09,0.0031332094703072667,2.2632443217109235e-12,gamma
m_1932,5,2795,47.03720930232558,13.107893131134007,22119.39659276853,22320.135890815363,22111.334218580898,22432.574700526762,1.6760541955042444e-05,2.694577516184326e-13,1.0882071704198264e-05,1.181903816906559e-19,gamma
m_1932,6,2820,59.74148936170213,10.550932629018412,21031.61703680163,21295.86173601989,21096.310790347183,21642.73833032865,1.4522228637946941e-19,9.134867564937852e-38,4.738472650347496e-25,7.027736865130778e-51,lognorm
m_1932,7,2774,53.01405912040375,8.400879972754053,19627.02844936267,19684.281656882784,19625.019694136223,19933.784739557843,9.591458012987009e-05,8.74883867102235e-07,0.00020910928042311072,4.016652398122026e-14,gamma
m_1932,8,2848,50.99297752808989,9.418967303633172,20853.133172413858,20860.838074047024,20830.234975558968,20984.57965274807,1.3108558518466834e-14,1.31641565191407e-09,1.4595930850021802e-11,7.8082106512058e-07,gamma
m_1932,9,2797,49.495530925992135,9.288741963072912,20393.83081113942,20409.466837433516,20374.846364740322,20498.855951148147,5.874055614834731e-12,1.881852286322393e-11,8.98486672186339e-11,3.270026566850536e-15,gamma
m_1932,10,2485,45.33118712273642,9.539380054813638,18162.128412697668,18265.604152922446,18158.41169913311,18461.06815164729,0.0006626673324286038,2.302663427393239e-14,1.3084969923611858e-06,1.0311288203282881e-18,gamma
m_1932,11,2485,48.775855130784706,9.732026229430373,18224.994186866243,18364.972446881162,18237.512301098628,18616.192730531548,0.0005870493874018226,2.1050077096883886e-13,1.4597587692599534e-06,3.488024359178286e-19,lognorm
m_1932,12,2705,41.07911275415896,9.774898439807108,19836.09141712673,20014.271308348223,19845.038922586198,20200.00918123035,0.0006104687236622363,3.458217534950876e-16,1.8921684713608902e-06,3.8740533141583985e-19,lognorm
m_1932,13,2688,39.84077380952381,8.981790672629433,19234.93426009337,19433.604825656726,19265.68293540641,19598.84546051889,2.104055391505723e-05,3.679870300734533e-15,1.3717705849047756e-07,9.504049890078001e-19,lognorm
m_1932,14,2650,39.18566037735849,9.14249161146941,19091.232039846058,19252.918879585668,19086.870209719287,19505.70981473395,4.6219145133238785e-06,7.314146953459452e-15,4.342149520785493e-06,2.766617345231849e-20,gamma
