vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
1203,0,360,0.9012169312169311,0.11623570355578856,-524.1601843012177,-523.9016161073162,-526.3287132507313,-495.629911045032,5.2734012314903855e-19,8.000811858895192e-20,2.308635218172613e-19,2.874338602358322e-17,gamma
1203,1,360,0.9067460317460317,0.12074699785316315,-481.4199109335007,-496.4859075585513,-489.72615205082184,-479.05842230797134,2.4306666105792177e-14,8.807652386452436e-16,6.2320561269388304e-15,3.862504770488762e-14,norm
1203,2,360,0.9116137566137565,0.11196346978416477,-567.1567830637698,-550.8637450349781,-562.8282236356142,-510.04126963686156,3.3143976030438683e-19,2.133894583760544e-18,5.82563237668146e-19,2.9633886848203374e-14,lognorm
1203,3,360,0.9119708994708996,0.1101763201715914,-573.3288344188616,-562.4490218895282,-570.6995847589444,-533.8221968230669,1.0004164407518877e-19,4.0607168896073476e-19,1.5215423424049929e-19,6.207210749317017e-16,lognorm
1203,4,354,0.9164379876244284,0.11113715160928875,-560.0595955642198,-546.8606086317654,-556.6556755810411,-512.680771094922,8.12776645597026e-19,6.031971978988156e-18,1.5192229607968323e-18,3.8804422535072035e-14,lognorm
1203,5,360,0.9138492063492063,0.10706875009150772,-592.4249038922857,-583.0488272668422,-590.1808071096027,-558.1734070183179,2.8398159836837443e-20,1.5896577206621578e-19,4.8725426041751863e-20,1.9713238480444052e-16,lognorm
1203,6,360,0.9160317460317461,0.1115364873351079,-560.3041076584409,-553.6147767693645,-559.1125052132037,-532.6815662352508,2.8758048415885363e-16,7.869452131393237e-16,3.8438798346705683e-16,1.952953739127648e-13,lognorm
1203,7,360,0.9121957671957672,0.11277178908944424,-558.4735582728745,-545.6843849967383,-555.2954869282007,-512.1260551271291,2.362295237616895e-19,9.473526399846934e-19,3.548414364832343e-19,3.6568844953788895e-15,lognorm
1203,8,360,0.9136772486772488,0.11347544617557438,-529.7583904864571,-541.2057911702761,-536.4691106292539,-521.9640566779034,7.795576933167769e-16,1.6452874953203473e-16,3.626538712583539e-16,4.434859506463317e-14,norm
1203,9,355,0.9131857813547953,0.11942423570145738,-370.5996517424921,-497.35555630299433,-434.74458714460843,-480.83118526069416,2.5292009324328594e-13,5.940623951968927e-16,1.4342006378711442e-12,7.96264993474183e-14,norm
