trace,vm,n,rho_net,rho_disk_read,rho_disk_write,rho_mem_delta,rho_composite_all,rho_composite_net_disk
fastStorage,380.csv,8615,0.5237001050131749,0.05244899292007117,0.5524187799428296,0.08394254698107823,0.5139227393807079,0.5607436749712128
fastStorage,324.csv,8635,0.4725664088704608,0.46298538681192136,0.48554714955583783,0.27071517097606324,0.44180367201082005,0.538596157591306
fastStorage,285.csv,5731,0.5573112019052443,0.26767379402163205,0.35460617908947223,0.2550715370794238,0.4387760447809226,0.42459754913217074
fastStorage,13.csv,176,0.12672182113839886,0.7149990046968725,0.5785908052468887,0.49433446959400845,0.5243288919166044,0.6107540671119598
fastStorage,879.csv,8634,0.33989410352441035,0.3507209941490146,0.3129642055528722,0.23082700260128247,0.439029803284958,0.4592289626664779
fastStorage,962.csv,4893,0.3839823066821563,0.0519908540988987,0.1665292448818313,0.10261469891045255,0.15452661690304634,0.30604210641223445
fastStorage,651.csv,3592,0.5136775315350566,0.10800321937526643,0.5017711493135956,0.2968512330558948,0.5136549988730088,0.5095189677937537
fastStorage,1057.csv,6603,0.005218254699103326,-0.013355065115849692,0.24816613145746108,0.006521502519551282,0.18140197257981452,0.2486742493716829
fastStorage,276.csv,5983,0.548475625031322,0.2239200859573887,0.20862648151497126,0.23586274714611205,0.38210721372163353,0.3860957143396042
fastStorage,301.csv,8613,0.4384999835951392,0.03989066973951079,0.2842731913304903,0.1167125114231722,0.3195644217671149,0.42698647986581206
fastStorage,804.csv,2360,0.5037822819598409,0.21964086126356838,0.4542877798493893,0.09706323126160886,0.2828334350969455,0.5166062654408435
fastStorage,983.csv,8639,0.34318589283000095,0.3735090519687831,0.4227578862195455,0.05922063862021286,0.3240203194900316,0.5224558490520945
fastStorage,24.csv,6621,0.17097302229823344,0.13317897206254292,0.21811514170840227,0.05695947818761924,0.11182391266840506,0.24524461820260995
fastStorage,647.csv,3249,0.5882679719469127,0.13299445879701244,0.6193517576953435,0.35206919165467543,0.5989474969637724,0.6168943592646668
