m,lam,ncont,mu,sig,meancpu,dec
m_1945,9200.0,20,3.7743460385810046,0.241115709383474,44.84759282119457,1
m_1951,12400.0,29,3.6799866459225674,0.3186958437915314,41.71356294999027,6
m_1958,9200.0,14,3.6221349994832113,0.36775630265533626,40.16410004904365,1
m_1964,10400.0,17,3.7939536304644124,0.23724237629709732,45.67549795101496,4
m_1968,12800.0,28,3.49714081275278,0.38592382432517813,35.6313571496983,7
m_1969,4400.0,8,3.3699749651330033,0.41891634689023033,31.716613672496024,0
m_1972,9200.0,22,3.7590434980902137,0.2693222006340878,44.47748267898383,1
m_1977,12800.0,32,3.61970676297641,0.3191977387209912,39.27731918238994,7
m_1978,9600.0,24,3.757107599677803,0.2805588120276762,44.4864477953808,2
m_1986,5200.0,11,3.312313723264955,0.5185666426236134,31.246201192537026,1
m_1987,9200.0,22,3.7546636331554186,0.25563604452590205,44.132177887820205,1
m_1988,9200.0,15,3.644856867388806,0.30299009457666576,40.05788301963165,1
m_1998,9600.0,14,0.15412769807843482,1.7027072674722137,7.351199591628382,2
m_2010,4000.0,9,3.448421352191676,0.3635103405284517,33.57247761794588,0
m_2014,4800.0,9,3.5387076378563758,0.3778862955246458,37.023953207687306,0
m_2019,11200.0,18,3.4969382158008884,0.36515700745117063,35.2872370531082,5
m_2022,4000.0,9,3.504315553339565,0.3961176876555898,35.95884658454647,0
m_2027,12400.0,31,3.5883069461191974,0.3896140107599141,39.106909160893,6
m_2042,4000.0,8,3.401684925983334,0.40108727490305374,32.49446924121871,0
m_2058,12000.0,19,3.656050239372307,0.31608086679870717,40.676857170674715,6
m_2062,11200.0,19,3.527793346819994,0.33678890992403215,36.00396480030945,5
m_2065,4000.0,8,3.539473328953944,0.36693289534004103,36.84486873508353,0
m_2066,9200.0,21,3.65796549770838,0.3020286860177613,40.574803149606296,1
m_2071,9200.0,17,3.695505610292613,0.3418633497696776,42.66752209865982,1
m_2073,9200.0,20,3.608016174884763,0.34012792519875085,39.06894831370984,1
m_2089,13200.0,28,3.612032462339045,0.32480014155756304,38.99951042788603,7
m_2098,11600.0,22,3.6871322372069146,0.2944182216693645,41.68138366019513,5
m_2109,10000.0,17,3.6810380303312367,0.3540962700371652,42.26841448189763,3
m_2114,9200.0,23,3.720945753975108,0.30171260053165,43.191959120709605,1
m_2124,9200.0,22,3.759526359943659,0.28617701708621823,44.72074468085106,1
m_2128,9800.0,19,3.671570465240061,0.3126582190696637,41.285387692893885,3
m_2135,9200.0,22,3.7931993098859493,0.24283824605742868,45.71105746016417,1
m_2146,13200.0,30,3.669611008162714,0.3153244067309632,41.236255286428296,7
m_2154,11600.0,19,3.6202163971569843,0.31537161521258933,39.240244612696564,5
m_2169,10000.0,13,3.561408430776552,0.3355946868073196,37.25893536121673,3
m_2172,12800.0,32,3.5484212895595073,0.3713390219093433,37.199593259732715,7
m_2181,10000.0,16,3.6258688428435972,0.30943547916917663,39.3799960815047,3
m_2189,10400.0,21,3.714441589154489,0.26931995230745526,42.54731182795699,4
m_2191,13600.0,25,3.5938144375498577,0.31414506519502555,38.19698611247907,8
m_2194,12800.0,31,3.6807282836988913,0.28813956620788056,41.335546875,7
m_2204,13200.0,31,3.7267450794868004,0.3404594620185187,44.01626099406832,7
m_2220,9200.0,22,3.6948470315100845,0.35885094746629,42.95796757203346,1
m_2223,13600.0,33,3.6205686672658772,0.3407238498776845,39.586989409984874,8
m_2225,11200.0,25,3.6823422767928555,0.29575752923506043,41.48953522649111,5
m_2226,11200.0,28,3.574764747490219,0.39865283373763344,38.62708270221145,5
m_2228,3600.0,9,3.4663353921479465,0.36362199438140713,34.17448777263714,0
m_2235,12800.0,23,3.6333267576580455,0.3125593309156543,39.71811055685636,7
m_2242,10000.0,18,3.7183656302085466,0.26609090402325514,42.68785960874568,3
m_2250,9600.0,23,3.5957895474685917,0.3273107825577504,38.433156133097064,2
m_2254,3600.0,8,3.3148399701002855,0.4094416469043908,29.864482792239446,0
m_2257,9200.0,18,3.6531851612071855,0.30412782143311634,40.40473648451907,1
m_2269,3600.0,8,3.455972379094936,0.37486838925889604,33.94473164771125,0
m_2270,12000.0,28,3.7003581912169112,0.2779589663629586,42.04764267990075,6
m_2287,11200.0,16,3.6964685834135693,0.2933586195756304,42.06811784574967,5
m_2303,13200.0,32,3.6890770482566073,0.3307319055330783,42.27205393599848,7
m_2319,9200.0,23,3.816091350660721,0.30619667015611357,47.57825242718447,1
m_2329,4000.0,9,3.446340027662041,0.4007084689896371,34.03984450923227,0
m_2337,9200.0,23,3.8476706588976617,0.2458556203972424,48.29319781078968,1
m_2338,9600.0,22,3.630258187659253,0.3296997553475649,39.813038629220316,2
m_2342,3600.0,8,1.5762793549154839,0.2055137131157959,4.937304992199688,0
m_2343,13300.0,33,3.602048601644821,0.39637082276847846,39.656936473382146,8
m_2345,10000.0,20,3.7459522142265262,0.255513229644797,43.74387506100537,3
m_2346,9200.0,18,3.681388927591238,0.2862555971662745,41.36603365148086,1
m_2358,9200.0,23,3.746684306958422,0.26385617453379956,43.88545246277205,1
m_2368,9600.0,19,3.8061700787995143,0.319079419373632,47.26008880118402,2
m_2385,9200.0,23,3.791437414911286,0.25503070234150305,45.751179131773995,1
m_2390,12800.0,19,3.63003916459744,0.31635307200457913,39.652357149857885,7
m_2404,11600.0,24,3.613610418066856,0.3068863971346216,38.88268102702183,5
m_2409,9600.0,14,3.7905243079444175,0.23982416347687208,45.56410256410256,2
m_2412,10400.0,19,3.5859012853671204,0.3549998393499513,38.49564707033161,4
m_2413,11200.0,17,3.6257171361305485,0.3406816121341555,39.70608562104051,5
m_2421,10000.0,20,3.619357674938752,0.31719169590982516,39.22242647058823,3
m_2428,9600.0,23,3.619199632830474,0.35791435373412983,39.74079457364341,2
m_2429,12400.0,22,3.7461595236269947,0.2804506297718656,44.044396636025816,6
m_2432,12000.0,19,3.5924720935603287,0.34231003562525014,38.40578158458244,6
m_2440,9200.0,20,3.578110121576842,0.32330717114665536,37.7077106993425,1
m_2449,12000.0,29,3.6336144316606407,0.30868252407233865,39.691595163806554,6
m_2453,9600.0,20,3.7274950986162865,0.28003406459402214,43.203572793274745,2
m_2462,3600.0,9,3.287218813068362,0.4529016581262634,29.550761175215747,0
m_2464,9600.0,16,3.5610848677522116,0.3336474728189709,37.222869345758106,2
m_2474,13600.0,32,3.7760381421863816,0.35720823434060706,46.49534043362495,8
m_2479,10400.0,23,3.7844147788358127,0.24800336686082075,45.36530238240684,4
m_2488,12000.0,24,3.7100613994364933,0.29325580315211003,42.62393079315708,6
m_2489,9200.0,23,3.8111195093447985,0.24696401987120464,46.57650903498654,1
m_2503,10000.0,18,3.7687833129559247,0.25093611576007835,44.70379413974455,3
m_2509,9600.0,16,3.696395957166298,0.3415029366747429,42.79517733158191,2
m_2514,9200.0,20,3.6705874689107705,0.28899349041865685,40.93931756494766,1
m_2520,13200.0,29,3.647226909744195,0.2859019626391345,39.95147617655656,7
m_2521,9200.0,13,3.9230053216595158,0.26781598725776234,52.22355250245339,1
m_2525,9200.0,12,3.5893904565623838,0.3308971235873329,38.23246740888762,1
m_2539,10400.0,19,4.06372381716052,0.14478574617578407,58.78191173560261,4
m_2544,12800.0,31,3.7509666739049843,0.2690214530135285,44.10668851195066,7
m_2552,4000.0,7,3.2469339938152864,0.4808510577395832,28.6798,0
m_2556,13200.0,31,3.844274969995268,0.3058814497962796,48.84146106399383,7
m_2560,11600.0,28,3.7966058265080798,0.2395698103756747,45.837477258944816,5
m_2563,11600.0,21,3.7727667780260172,0.23883970638962854,44.754250386398766,5
m_2567,12800.0,32,3.589606404308924,0.3637345612406005,38.68967219589258,7
m_2570,12400.0,28,3.6565230529779873,0.30341439093182726,40.53856708811134,6
m_2572,12400.0,27,3.485828893013063,0.3913236346425624,35.19824132877382,6
m_2574,12400.0,30,3.747840697410743,0.3163621246191539,44.62306681491964,6
m_2589,11600.0,18,3.676235594834483,0.3003027940908894,41.28358797437161,5
m_2591,9600.0,23,3.7094101541255955,0.28336138125656474,42.48987426816393,2
m_2596,13200.0,33,3.574728174455105,0.3630266973023379,38.07841229691604,7
m_2606,12800.0,29,3.768536444018027,0.27402506169846835,44.94495585196318,7
m_2610,9200.0,13,3.611668172773194,0.3241777201588857,39.01447407554278,1
m_2622,9600.0,20,3.8520117700306757,0.23567555421678776,48.371674171101105,2
m_2623,12000.0,15,3.7279723887043605,0.28284840878549156,43.261196303442674,6
m_2637,10000.0,25,3.720568632284375,0.2757557431222338,42.87610272495589,3
m_2642,10000.0,15,3.4133156765865804,0.39325325020796326,32.771269045140535,3
m_2645,9200.0,22,3.7408714379611516,0.2739039820828157,43.72434274586173,1
m_2647,12400.0,23,3.7385940854819038,0.27739875349581566,43.66001612253124,6
m_2650,12800.0,24,3.736364531377045,0.30187896399788655,43.87803234501348,7
m_2651,8800.0,20,3.5777497170703265,0.376069140590163,38.472466232171534,1
m_2654,9200.0,15,3.6647910169860087,0.2983689687968972,40.81012658227848,1
m_2664,9600.0,20,3.7584720561747633,0.26380559240064827,44.396524329692156,2
m_2666,9200.0,18,3.5212211985562214,0.332585868958087,35.73809992132179,1
m_2673,9600.0,18,3.667269984980777,0.3065165560577654,41.014270663729526,2
m_2690,10800.0,16,3.733195508157098,0.3391864533865308,44.277444539655335,5
m_2696,10000.0,18,3.3988878361553745,0.422644056832567,32.79922216820613,3
m_2716,13200.0,28,3.7151432358522802,0.2825857945873241,42.724407907614015,7
m_2721,13200.0,30,3.597595371290444,0.34545656485934667,38.70281046387241,7
m_2738,12800.0,29,3.708480181609117,0.30090484325336364,42.6412213740458,7
m_2740,11600.0,29,3.6146543255505885,0.3665180201544403,39.82390809151233,5
m_2748,9600.0,24,3.7094144266306213,0.3267870696179095,43.02942931000199,2
m_2755,13200.0,29,3.694311921708363,0.30254457549536556,42.06155075939249,7
m_2758,9600.0,17,3.784858385897018,0.28000966134645255,45.81310324656332,2
m_2759,9200.0,11,3.6994399269432248,0.4179513111866483,44.16252844000396,1
m_2766,4400.0,10,3.384302261198963,0.39558560540065535,31.852616136919316,0
m_2767,10000.0,23,3.6638454854604032,0.28728357870089655,40.65366522932184,3
m_2768,10800.0,16,3.744260460152859,0.2810488626181236,43.95304518664047,5
m_2769,4800.0,10,3.108916768801904,0.4782152203315775,25.038678793681186,0
m_2771,8500.0,22,3.7419483122837325,0.31286816202580575,44.30218568277522,1
m_2776,12800.0,30,3.6868738336396394,0.29592471815625454,41.69438569505864,7
m_2781,9600.0,15,3.6223246303740817,0.31443052809243516,39.3083725848313,2
m_2790,9200.0,19,3.720439116756904,0.2905175196160138,43.04199862299597,1
m_2797,5200.0,10,1.2140304740797674,0.18645897023422564,3.4278390404333527,1
m_2811,9200.0,22,3.7008740847657333,0.2753247924729542,42.02355019134531,1
m_2820,9200.0,22,3.883511060035491,0.22979528191806192,49.8864406779661,1
m_2825,11200.0,19,3.5802259403422054,0.32626291203251984,37.837171368259455,5
m_2835,10000.0,17,3.5670819964668987,0.3197700682470011,37.25196322543574,3
m_2839,18800.0,23,2.5146010549663775,0.9224926701350409,18.185352002349948,8
m_2843,9200.0,21,3.7402392041167714,0.31687312976970866,44.312134787689914,1
m_2847,13200.0,30,3.6340345155072615,0.31235250906342793,39.74182820220449,7
m_2848,9200.0,17,3.4921968690340073,0.35930713236693407,34.924050632911396,1
m_2854,10400.0,17,3.532158568331993,0.3659294748921065,36.614504556912934,4
m_2867,12400.0,31,3.682715494134074,0.2865676486885665,41.41890054390054,6
m_2874,9600.0,19,3.860153652637358,0.24184114787720198,48.845272744343255,2
m_2880,4000.0,9,3.4262112864505507,0.390983090087326,33.16900448081044,0
m_2889,3600.0,7,3.4727215467350856,0.38463814445602457,34.6125575712003,0
m_2892,11200.0,17,3.4733680003413725,0.44238661741649776,35.40426970633694,5
m_2894,10000.0,23,3.8169268022183744,0.25238624700478046,46.90889789615904,3
m_2898,10000.0,20,3.674688313424633,0.2697542319878665,40.89061605950791,3
m_2904,12800.0,32,3.6102421748835147,0.3251367000171157,38.93977591036415,7
m_2906,13200.0,33,3.7745335024440423,0.2647976994203265,45.119557705597785,7
m_2907,13300.0,33,3.74751319402269,0.28956022080027816,44.202924698509165,8
m_2932,10400.0,15,3.5115996262037004,0.41066685463529506,36.27972775887214,4
m_2937,11200.0,20,3.455869062079092,0.4315966991480424,34.64889014296463,5
m_2940,11600.0,17,3.5648999955752014,0.3968289209647857,38.28205614567526,5
m_2951,4800.0,9,3.325934501189558,0.40425302314739914,30.14380905022377,0
m_2954,9200.0,23,3.750182402308842,0.24136872443846205,43.77944694287628,1
m_2956,10400.0,25,3.7059644350998338,0.2857360167279249,42.364134615384614,4
m_2968,9200.0,23,3.6200757911059527,0.34973377598652144,39.817544206262966,1
m_2976,3600.0,6,3.262890283783883,0.4759190723408227,29.072690018538395,0
m_2982,11200.0,18,3.5833648102810662,0.34781525271858355,38.17823621431365,5
m_2984,3600.0,9,1.3041033405033307,0.1881140502451655,3.751743241952431,0
m_2990,12400.0,23,3.6165060586832425,0.2817613766416967,38.69542305064897,6
m_2993,13600.0,32,3.6862462684462005,0.286472769814179,41.541310541310544,8
m_2995,9200.0,19,3.719897488839696,0.2881503665905007,42.9849756097561,1
m_3011,11200.0,22,3.7147617415845113,0.31454177532136307,43.12007579535255,5
m_3028,12800.0,30,3.6529338120916384,0.3004145341073663,40.35782596345043,7
m_3032,10000.0,19,3.6719661587189703,0.2866077496611417,40.975621841244674,3
m_3042,9600.0,12,3.5091313086296583,0.3646712597408965,35.68357115310451,2
m_3045,4000.0,9,3.3871001564082626,0.416791637513095,32.138398115429915,0
m_3046,3600.0,7,3.3076249239254936,0.42425904088968774,29.759670451120265,0
m_3058,10000.0,18,3.5129966068089886,0.34727848103572373,35.61705685618729,3
m_3062,4000.0,8,3.440956671923852,0.3768258353703064,33.489881708866946,0
m_3065,10000.0,15,3.678151182544204,0.30538991570887697,41.43897298333014,3
m_3070,9600.0,14,0.1612412886970801,1.7454188944428686,8.541024176660956,2
m_3072,10400.0,17,3.9248479758139427,0.1904592675618026,51.540951827081514,4
m_3079,11200.0,20,3.516276496571411,0.3986599065325812,36.322732626619555,5
m_3097,13200.0,33,3.5096409423434136,0.37367084314912824,35.86021609106695,7
m_3109,9200.0,22,3.7250998491971234,0.27661253732516733,43.070293047308944,1
m_3121,10000.0,24,3.7361942433916497,0.2772407574582736,43.56777842793056,3
m_3124,9200.0,23,3.826068344822799,0.24918812580647132,47.315221733919294,1
m_3128,9600.0,18,3.557002991116189,0.39634927111034796,37.93195463642428,2
m_3132,13600.0,31,3.71352379219908,0.27862420563935375,42.59066859066859,8
m_3136,9600.0,21,3.772468663187044,0.27911490827897123,45.18699980480187,2
m_3139,10000.0,16,3.6683227006395236,0.32354976629464977,41.26662725391664,3
m_3151,12400.0,31,3.7591734966056936,0.27277318307830933,44.51039969328094,6
m_3169,3600.0,8,3.361318205490027,0.4222353952525481,31.44653360331694,0
m_3186,12000.0,29,3.743116835101979,0.2590031876679272,43.65418459131795,6
m_3202,12800.0,30,3.6064637549042784,0.32080761087723036,38.77845944103613,7
m_3207,12800.0,15,0.3310459390878483,1.7237112050569365,8.080965626862707,7
m_3212,10500.0,14,3.5376616930702136,0.35557115204038126,36.568079703067006,5
m_3218,10400.0,17,3.488665490992856,0.3607544036816396,34.90391139493115,4
m_3221,13600.0,32,3.8178414287989813,0.2350350645222995,46.762968645124175,8
m_3240,9200.0,22,3.5850764782801487,0.3208493667749709,37.95982187036121,1
m_3241,11600.0,29,3.714965133061957,0.2897412053495875,42.79353612167301,5
m_3261,13700.0,33,3.650704442880219,0.28787257889632173,40.104525111884634,8
m_3266,13200.0,31,3.5736177953820296,0.32572549088463987,37.602734523357384,7
