vm,n_bins,alpha_mu,r2B,r2C,r2P,aiccB,aiccC,aiccP,alpha_B,alpha_C,c_C,c_P,lam_min,lam_max,lam_gmean
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/324.csv,24,0.001586257076846,0.8793593566705696,0.8793593566705414,0.6850963063629572,-124.35080467642366,-121.72223324784663,-101.32398977937261,0.04976842444882703,0.04976842775639854,5.156462510742926e-12,0.002441989455632492,0.5657407407407407,402.9260909935005,2.2354232504229015
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/122.csv,24,0.0169196502589141,0.6248577939096456,0.8290955374085527,0.8288080677952359,-119.8345977823145,-136.0748375917447,-138.6630737671624,0.11548857082925304,3.844030077208027e-11,0.0473163590993223,0.04704546990921978,1.8900432900432902,12.649189095928225,3.449225867286899
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/294.csv,24,0.048153234950525,0.7705529243268301,0.942163008337487,0.9323831965314062,-116.52026724380364,-146.96474775173417,-145.84384816310316,0.21873917230474185,0.11771388129207144,0.11841049194333501,0.1286723699791577,0.48632275132275127,6.015653235653235,0.656193838643222
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/119.csv,24,0.0091505164933375,0.6455368138870503,0.7860921598354256,0.7642356496801764,-132.66669663814346,-142.15954659512528,-142.4532175015674,0.10575253689117055,0.06997381591499281,0.03454328259745206,0.04037630672059816,2.5644320297951584,14.097513227513225,3.8680683263299214
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/393.csv,24,0.0433262378660628,0.6820671803131689,0.9402664929242684,0.9358152093312382,-100.39070938562647,-137.8888655037683,-138.79248117259584,0.13479302672962962,0.06636697140848442,0.04026490704673402,0.04177732990797277,1.5601719576719575,25.246577380952377,1.957623040578996
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/440.csv,24,0.0003668908291351,0.9689720863711612,0.9689720863712262,0.8818662328863714,-188.05339922200943,-185.4248277934883,-155.96707050908202,0.027215144662144985,0.027215148468569962,4.411458297509559e-14,0.0006051218835340939,447.9330020703934,1573.0341736694677,784.8001068304693
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/302.csv,24,0.1493070686559449,0.8887292174094725,0.8887292174094724,0.8830321217484223,-184.95587000870316,-182.32729858013175,-183.75748667647017,0.4029714279643616,0.4029714310766815,1.5947179792968387e-09,0.4083773603973247,0.010198412698412696,0.8227777777777777,0.01554093922752859
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/296.csv,24,0.0262696619189637,0.9541865679098623,0.9706245064975743,0.9677914044077103,-188.76179203539797,-196.79921787388935,-197.2180471813087,0.16589948179450242,0.0911284003268781,0.05188995108131919,0.060905644199815284,0.5337868480725624,7.891613756613756,0.7390097242412945
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/102.csv,24,0.0309309719461306,0.6924112392284855,0.8964099447305961,0.8958249455073551,-153.1095739305192,-176.60073925954794,-179.09415788525288,0.12723670812108015,0.011628020455571085,0.058126211067228664,0.056642574333061343,2.5746693121693123,6.899772079772081,4.4040543117386
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/168.csv,24,0.0270493453893336,0.6983641921412624,0.7896018777623484,0.7827492329686537,-162.62651079321813,-168.6431905481041,-170.50254424834017,0.08096025587644047,8.604288640895305e-11,0.015654148325046927,0.014841045424152204,5.152380952380953,27.407592592592593,7.884160313693205
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/350.csv,11,0.0001898885103567,0.7136864210709003,0.7388242441317124,0.738811614232405,-47.40521228540395,-44.48747557376557,-48.415515078794265,0.00792556406348222,2.678809308161137e-13,5.907121683471871e-05,5.90547206649324e-05,317.7386541471049,17866.58132667914,832.97000008581
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/115.csv,24,0.0117626209792945,0.6224235617438046,0.7911759711277464,0.7796379003161023,-127.83142620701783,-139.41760126113928,-140.755448590706,0.11015283571735172,0.06284133044976321,0.03983904276097146,0.04432842859667655,2.5610027855153206,13.447531265031264,3.891393111691067
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/466.csv,24,0.0041406295136357,0.8564614674047215,0.8568941152110594,0.8134174415984285,-162.3880785186418,-159.83195612174498,-156.0935914495514,0.05922163858241702,0.05661066434893329,0.001983480545130734,0.006529625595335369,4.994483476450689,82.66803652968036,29.89064765177656
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/406.csv,24,0.0985456294605143,0.31926916551560647,0.514864932413509,0.4650217492208363,-88.98779613448103,-94.4889759601184,-94.77037735784975,0.16640213190780462,7.293119507122906e-12,0.09267679470858266,0.07709047073721839,2.2068518518518516,5.397777777777778,2.981340882913883
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/181.csv,24,0.0099406667976971,0.7055815745203855,0.7055815745195302,0.5279998344471208,-153.3379145568443,-150.7093431282032,-142.0104577995023,0.09528054976624371,0.0952806010707876,3.388279825306324e-10,0.018112694389451227,0.47537037037037044,25.88907407407407,2.8196472630084637
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/172.csv,12,0.0002849102161231,0.6282365037902153,0.6282365037902164,0.5974612765346666,-44.81754654836123,-41.15087988169459,-43.86314562374162,0.02451261081334234,0.024512610298610696,6.76387409610674e-12,0.000643174402458536,9.750840336134454,1582.1475694444446,34.31563337505557
