method,param,share_at_target,mean_coverage,median_headroom,median_ceiling
lognorm,1.0,0.005337465564738292,0.7460962481812831,-0.24335041871069474,45.2079682004175
gauss,1.0,0.005681818181818182,0.7578137750220886,-0.23564747029533833,45.77880382537842
lognorm,1.1,0.006198347107438017,0.7750754739670188,-0.22452961480549982,46.26029378799612
gauss,1.1,0.006370523415977962,0.7808399313336446,-0.22116474200428116,46.72032775878906
lognorm,1.2,0.006887052341597796,0.8018112002010228,-0.20592744553999207,47.430043464521546
gauss,1.2,0.0065426997245179065,0.8026301506603032,-0.20627628380868224,47.627956581115725
lognorm,1.3,0.008608815426997245,0.8267466914583073,-0.18803960092060207,48.597411822595205
gauss,1.3,0.007575757575757576,0.8218426359389771,-0.19207790647109346,48.56991043090821
lognorm,1.4,0.013429752066115703,0.8480998606139885,-0.1695399727900313,49.83369751911815
gauss,1.4,0.0084366391184573,0.8396583445113577,-0.17850213887973315,49.48396034240723
lognorm,1.5,0.02358815426997245,0.8676568037401736,-0.1504322206457076,51.08020524899362
gauss,1.5,0.012224517906336088,0.8554540489302249,-0.16372023674023045,50.36709141731262
lognorm,1.6,0.039428374655647386,0.8848729854603152,-0.13052738215996745,52.39564324713448
gauss,1.6,0.01962809917355372,0.869838431434042,-0.1493695896322077,51.2800952911377
lognorm,1.7,0.0625,0.9002012891217346,-0.11068116433924614,53.693691130548686
gauss,1.7,0.02806473829201102,0.8828106975710838,-0.13515695194781535,52.26526234149933
lognorm,1.8,0.09418044077134986,0.9133349305697762,-0.08981042412568649,55.07477702317945
gauss,1.8,0.038050964187327826,0.8946527802116904,-0.12140585177742849,53.23319339752197
lognorm,1.9,0.13670798898071626,0.9245065268734202,-0.06900338653405558,56.451426969368974
gauss,1.9,0.056818181818181816,0.9052191610978585,-0.10735829160266365,54.135249280929564
lognorm,2.0,0.18164600550964188,0.9341374157076641,-0.04858107589890563,57.83479096671826
gauss,2.0,0.07679063360881543,0.9142675350993074,-0.09252547710562098,55.04222297668457
lognorm,2.1,0.2262396694214876,0.9421554682726324,-0.026990819820353566,59.2926214049617
gauss,2.1,0.10278925619834711,0.9223389003901757,-0.07805145519308476,56.00203971862793
lognorm,2.2,0.2794421487603306,0.9494148798688166,-0.004077178314235786,60.76394874721811
gauss,2.2,0.13188705234159778,0.9294243439160025,-0.06381831956423137,56.99762601852417
lognorm,2.3,0.33608815426997246,0.9551549010153202,0.017300283742738336,62.250162606859845
gauss,2.3,0.162534435261708,0.9354772821482888,-0.05006067526460996,57.88152267932892
lognorm,2.4,0.39273415977961434,0.9601723225637382,0.04045152674448676,63.85000854594479
gauss,2.4,0.1959366391184573,0.9410101864499297,-0.03666004828044343,58.75249900817871
lognorm,2.5,0.4497245179063361,0.964000785960397,0.0652315397085175,65.48672850453733
gauss,2.5,0.22899449035812672,0.9459957843736959,-0.02258040253371302,59.70648169517517
lognorm,2.6,0.5012052341597796,0.9673070093111319,0.08899406596669068,67.1371771219863
gauss,2.6,0.25860881542699726,0.950370446112304,-0.008350631190829249,60.582334804534916
lognorm,2.7,0.5475206611570248,0.9701231776153177,0.1135039206545772,68.80926227813052
gauss,2.7,0.29097796143250687,0.9543411141264825,0.004425906563046024,61.47689471244812
lognorm,2.8,0.5965909090909091,0.9723069572590407,0.13840175627853069,70.56344348710311
gauss,2.8,0.3259297520661157,0.9577856532474541,0.017967749115530732,62.36881332397461
lognorm,2.9,0.6360192837465565,0.9739734992937213,0.16416411068984144,72.29042342138928
gauss,2.9,0.36070936639118456,0.9609540965485311,0.03198334422324293,63.28267147541046
lognorm,3.0,0.6733815426997245,0.9754179614951327,0.19003251229804236,74.08302422240548
gauss,3.0,0.3944559228650138,0.9634519694071767,0.04629157072865064,64.18668174743652
lognorm,3.1,0.7045454545454546,0.9767207994223223,0.21814779427464254,75.91660100899169
gauss,3.1,0.43147382920110194,0.9657638709644839,0.059838639786245054,65.14717941284181
lognorm,3.2,0.7334710743801653,0.9778097353868676,0.24547538077838305,77.76523363043619
gauss,3.2,0.46728650137741046,0.9677440467598069,0.07430862135402129,66.10118370056152
lognorm,3.3,0.7620523415977961,0.9787562663143428,0.2734391709094828,79.68415770220007
gauss,3.3,0.503271349862259,0.9696606222318634,0.08849268872501763,67.05779047012328
lognorm,3.4,0.7913223140495868,0.9796649677382893,0.302681205167489,81.60779795032528
gauss,3.4,0.537362258953168,0.9712158694104417,0.10284798759687212,67.94588766098022
lognorm,3.5,0.8123278236914601,0.9804814517147932,0.3319923145918634,83.66703383757398
gauss,3.5,0.5621556473829201,0.9724777296944147,0.11692117158889641,68.86283111572266
lognorm,3.6,0.8319559228650137,0.9813329543072181,0.3623827775225499,85.69353368962075
gauss,3.6,0.5902203856749312,0.973557335671203,0.13085014884362645,69.8162057876587
lognorm,3.7,0.8472796143250688,0.9822660716734317,0.3926295615096589,87.78166091754503
gauss,3.7,0.615358126721763,0.9746551581794967,0.14462450536446514,70.75113453865052
lognorm,3.8,0.8638085399449036,0.9832459232029781,0.42503152024703805,89.86455570720165
gauss,3.8,0.6363636363636364,0.9754688475758154,0.1578857937285904,71.70698022842407
lognorm,3.9,0.8817148760330579,0.9841463107366442,0.45720742951973675,91.96507982007527
gauss,3.9,0.6587465564738292,0.9761661844384784,0.1719399221840776,72.67924475669861
lognorm,4.0,0.8963498622589532,0.9852194991421063,0.48959578589313324,94.18055699737513
gauss,4.0,0.6804407713498623,0.9768068244471619,0.18586076913507063,73.59055709838867
lognorm,4.1,0.9094352617079889,0.9861112447777437,0.5223327293505275,96.35960641152724
gauss,4.1,0.7002410468319559,0.9774045067572101,0.19954582729108195,74.52272162437438
lognorm,4.2,0.9221763085399449,0.9871531595527644,0.5551367663179838,98.66355074474234
gauss,4.2,0.7221074380165289,0.9779082456789087,0.21318972857352586,75.46247625350952
lognorm,4.3,0.9319903581267218,0.9883394429187798,0.5898531525913917,100.92840703218968
gauss,4.3,0.737603305785124,0.9783480465044662,0.22733409940400465,76.3832628250122
lognorm,4.4,0.9397382920110193,0.9892997970656795,0.6257302773716329,103.27907839952503
gauss,4.4,0.7508608815426997,0.9787469019023836,0.24130313690289784,77.2924903869629
lognorm,4.5,0.9485192837465565,0.9904811753554343,0.6625369454604455,105.70924564678202
gauss,4.5,0.7665289256198347,0.9791486445690911,0.25486572777445426,78.17391586303711
lognorm,4.6,0.9545454545454546,0.9913945073793055,0.6989676711318316,108.2803255311351
gauss,4.6,0.78150826446281,0.9795484125304285,0.268664305175898,79.10417861938475
lognorm,4.7,0.9607438016528925,0.9918822865951795,0.7374937438358655,110.78053824554402
gauss,4.7,0.7920110192837465,0.9799021366260563,0.2821784706250553,80.02834339141846
lognorm,4.8,0.9653925619834711,0.9927697634382027,0.7762015738760883,113.29342790126847
gauss,4.8,0.8044077134986226,0.9803238636627339,0.296138075142012,80.89195976257324
lognorm,4.9,0.9700413223140496,0.9936133907177553,0.8147032811773021,115.8902821122584
gauss,4.9,0.8173209366391184,0.9807097535050907,0.31028140679649685,81.83323431015015
lognorm,5.0,0.9745179063360881,0.9942914224175031,0.8554298327236712,118.75038008684805
gauss,5.0,0.8261019283746557,0.9809697143422937,0.3246752485356217,82.70895338058472
rolling_max,0.6,0.012052341597796144,0.6045004822467761,-0.3129032258064516,45.0
rolling_max,0.65,0.027203856749311296,0.6991891765683176,-0.2556451612903226,48.75
rolling_max,0.7,0.054924242424242424,0.7876928436423312,-0.1983870967741936,52.5
rolling_max,0.75,0.10037878787878787,0.855105421418942,-0.14112903225806453,56.25
rolling_max,0.8,0.16683884297520662,0.9011791962157145,-0.08387096774193542,60.0
rolling_max,0.85,0.2505165289256198,0.9309780157139735,-0.02661290322580643,63.75
rolling_max,0.9,0.3648415977961432,0.953800167404362,0.03064516129032256,67.5
rolling_max,0.95,0.49638429752066116,0.9655411843048548,0.08790322580645166,71.25
rolling_max,1.0,0.6914600550964187,0.9789397816806233,0.14516129032258066,75.0
rolling_max,1.05,0.7956267217630854,0.9837479176535754,0.20241935483870963,78.75
rolling_max,1.1,0.8569214876033058,0.9863232731884285,0.25967741935483885,82.5
rolling_max,1.15,0.9016873278236914,0.9881428347341328,0.3169354838709676,86.25
rolling_max,1.2,0.928030303030303,0.9895045761247905,0.37419354838709684,90.0
rolling_max,1.25,0.943698347107438,0.9906205142033495,0.4314516129032258,93.75
rolling_max,1.3,0.9574724517906336,0.9914819661618285,0.4887096774193548,97.5
rolling_max,1.35,0.965736914600551,0.9924534567735659,0.545967741935484,101.25
rolling_max,1.4,0.9729683195592287,0.993545763764107,0.6032258064516127,105.0
rolling_max,1.45,0.9786501377410468,0.9946980523929952,0.660483870967742,108.75
rolling_max,1.5,0.9846763085399449,0.9958321587781064,0.717741935483871,112.5
rolling_max,1.55,0.9872589531680441,0.9962750602575179,0.7749999999999999,116.25
rolling_max,1.6,0.9891528925619835,0.9969254203534555,0.8322580645161292,120.0
rolling_max,1.65,0.9924242424242424,0.9978004451319231,0.889516129032258,123.75
rolling_max,1.7,0.9941460055096418,0.9981872977320301,0.9467741935483871,127.5
rolling_max,1.75,0.9953512396694215,0.9986047359038063,1.0040322580645162,131.25
rolling_max,1.8,0.9963842975206612,0.9988753499933208,1.0612903225806452,135.0
rolling_max,1.85,0.9972451790633609,0.999153181305258,1.118548387096774,138.75
rolling_max,1.9,0.9979338842975206,0.9993910675496903,1.1758064516129034,142.5
rolling_max,1.95,0.9986225895316805,0.9994475193551777,1.2330645161290321,146.25
rolling_max,2.0,0.9987947658402204,0.9995922167401492,1.2903225806451613,150.0
rolling_max,2.05,0.9991391184573003,0.9996317128691687,1.34758064516129,153.75
rolling_max,2.1,0.9991391184573003,0.9996644303195156,1.4048387096774193,157.5
rolling_max,2.15,0.9993112947658402,0.9996819026049085,1.4620967741935484,161.25
rolling_max,2.2,0.9993112947658402,0.9997127398448814,1.5193548387096778,165.0
empirical,0.8,0.0046487603305785125,0.7153406317383841,-0.27586206896551724,43.0
empirical,0.82848,0.005337465564738292,0.7489073009606688,-0.2545454545454545,44.0
empirical,0.85291,0.006026170798898072,0.7769681309364415,-0.23809523809523808,45.89306640625
empirical,0.87385,0.006887052341597796,0.8034638961660291,-0.22075621612497903,47.0
empirical,0.89182,0.008953168044077135,0.8262497706663217,-0.2,48.0
empirical,0.90722,0.011019283746556474,0.8452453309800959,-0.1850436828479225,49.0
empirical,0.92044,0.014979338842975207,0.8626757248417902,-0.16716011622190452,50.0
empirical,0.93177,0.02066115702479339,0.8781513849133028,-0.1508452601966172,51.0
empirical,0.94148,0.028925619834710745,0.8896325794475627,-0.1346813840247268,52.0
empirical,0.94982,0.043560606060606064,0.9011440884582765,-0.11861007095278076,53.0
empirical,0.95696,0.058712121212121215,0.9130970883663723,-0.10476146024816177,54.21905517578125
empirical,0.96309,0.07265840220385675,0.920135083011248,-0.08697297698560479,55.836395263671875
empirical,0.96835,0.09504132231404959,0.9294256082006395,-0.07216511525931364,57.0
empirical,0.97286,0.11088154269972451,0.9341815083825704,-0.058823529411764705,57.74310302734375
empirical,0.97672,0.13722451790633608,0.9415117433348146,-0.046511627906976744,59.0
empirical,0.98004,0.16270661157024793,0.9461489454649387,-0.03571428571428571,60.0
empirical,0.98288,0.18199035812672176,0.948812800743809,-0.02458549128601185,61.0
empirical,0.98532,0.21453168044077134,0.9532793914458217,-0.015246273664032802,62.0
empirical,0.98741,0.23760330578512398,0.9556994273150164,-0.0066123852852010175,63.0
empirical,0.9892,0.26825068870523416,0.9583570473777104,0.0,64.0
empirical,0.99074,0.29631542699724517,0.9607656820723538,0.0006391987751445877,64.906494140625
