method,param,share_at_target,mean_coverage,median_headroom,median_ceiling
lognorm,1.0,0.2887123064384678,0.841873849251944,-0.11068487371064448,1.9198797127507565
gauss,1.0,0.3139771801140994,0.8609811498996025,-0.08877150661819977,2.023568603988296
lognorm,1.1,0.31968215158924207,0.8591470994370357,-0.0859768783384715,1.9609087077535081
gauss,1.1,0.3341483292583537,0.8713062662276062,-0.070925561976486,2.0692689043472834
lognorm,1.2,0.36185819070904646,0.875560912256933,-0.055433585847687455,2.006372627492963
gauss,1.2,0.35635696821515894,0.8812975715651713,-0.05388884030300971,2.1113043330463004
lognorm,1.3,0.4042379788101059,0.8927508644444271,-0.028087242978037157,2.065370979809411
gauss,1.3,0.3822330888345558,0.8914350513329439,-0.03552389758364316,2.1649026807033183
lognorm,1.4,0.4612876935615322,0.9139614622272888,-0.0016423656708154152,2.1122442143608504
gauss,1.4,0.41972290138549306,0.9062805501388941,-0.015212309789416702,2.218262758967321
lognorm,1.5,0.502241238793806,0.9250771453177546,0.01977132241861479,2.1484866864652434
gauss,1.5,0.4551752241238794,0.9168861066667497,0.0,2.2641062350063477
lognorm,1.6,0.537082314588427,0.9341916973485678,0.043492359589183724,2.212347420271329
gauss,1.6,0.4759576202118989,0.923295912413998,0.013578273432905406,2.308947519830781
lognorm,1.7,0.5727383863080685,0.9425658017432946,0.07477956155919474,2.2668822587253694
gauss,1.7,0.4993887530562347,0.9295883190356572,0.027628391503767016,2.355605124565968
lognorm,1.8,0.6004482477587612,0.9497961338490228,0.10696859857418953,2.3226877954194083
gauss,1.8,0.5162999185004075,0.9356281837465142,0.04127676392154225,2.4035844373737874
lognorm,1.9,0.6297881010594947,0.956779068748052,0.13984179594645946,2.3777667726264564
gauss,1.9,0.5372860635696821,0.9421209020830208,0.05428048544235109,2.4488507363175493
lognorm,2.0,0.6542379788101059,0.9628657854316958,0.17453463670366548,2.4489092863635573
gauss,2.0,0.5647921760391198,0.9481438329462709,0.06867777743877465,2.488540400362395
lognorm,2.1,0.6731866340668297,0.9669441821780077,0.21635012749607596,2.5262191604991777
gauss,2.1,0.5833333333333334,0.9533636222597948,0.08358033066176881,2.5347835714362574
lognorm,2.2,0.6966177669111654,0.9701913229453848,0.24864242215461635,2.5975811354564664
gauss,2.2,0.6085982070089649,0.958060966662456,0.10056958887842374,2.574888175513389
lognorm,2.3,0.7226976365118174,0.9729618426187722,0.28442702442476975,2.6758158710706588
gauss,2.3,0.6285656071719642,0.9615296842511646,0.11924094838450683,2.6138350658455187
lognorm,2.4,0.7418500407497962,0.9753202202175931,0.32508593590397006,2.7423934510229477
gauss,2.4,0.6471067644661777,0.9645950864425094,0.1373263997074242,2.664086674651373
lognorm,2.5,0.7603911980440098,0.9771804326841748,0.36365128252166123,2.819242061685821
gauss,2.5,0.6709453952730237,0.9675643917931106,0.15344983532218315,2.7134465553689564
lognorm,2.6,0.773838630806846,0.9791047551975812,0.4057208540792301,2.8828652160378967
gauss,2.6,0.6939690301548492,0.969914431897082,0.17095758870565497,2.7573375533127704
lognorm,2.7,0.7903422982885085,0.9816687187066677,0.4535686224337552,2.9667618954605794
gauss,2.7,0.7100651996740016,0.9719467632876289,0.19125927596528253,2.791381189750294
lognorm,2.8,0.8027709861450693,0.9835491432461304,0.5041854926284257,3.042276440319182
gauss,2.8,0.7243276283618582,0.973780893411962,0.21330221897377372,2.831266088961181
