rm_m,rm_share,rm_hr,ln_K,ln_share,ln_hr,share_diff_ln_minus_rm
0.7,0.2897738256330949,2.8088239463226143,1.4,0.32476319350473615,2.9420835642417122,0.03498936787164125
0.75,0.32070365358592695,3.0808827996313726,1.4,0.32476319350473615,2.9420835642417122,0.004059539918809196
0.8,0.35144017011405376,3.3529416529401312,1.5,0.35743282427991496,3.7583784484479876,0.0059926541658612
0.85,0.39319543785037697,3.625000506248889,1.5,0.35743282427991496,3.7583784484479876,-0.03576261357046201
0.9,0.4538952252078098,3.8970593595576477,1.5,0.35743282427991496,3.7583784484479876,-0.09646240092789482
0.95,0.5519041175333462,4.1691182128664055,1.5,0.35743282427991496,3.7583784484479876,-0.19447129325343127
1.0,0.7568142277208583,4.441177066175164,1.6,0.39261550357626135,4.780848023936808,-0.3641987241445969
1.05,0.8403247631935047,4.713235919483923,1.6,0.39261550357626135,4.780848023936808,-0.44770925961724334
1.1,0.8797602938333655,4.985294772792681,1.6,0.39261550357626135,4.780848023936808,-0.48714479025710417
1.15,0.9027643533732843,5.2573536261014375,1.6,0.39261550357626135,4.780848023936808,-0.510148849797023
1.2,0.9157162188285327,5.529412479410196,1.7,0.4200657258843998,6.063810144107877,-0.49565049294413294
1.25,0.9298279528320124,5.801471332718955,1.7,0.4200657258843998,6.063810144107877,-0.5097622269476125
1.3,0.9375604098202204,6.073530186027713,1.7,0.4200657258843998,6.063810144107877,-0.5174946839358205
1.35,0.9421998840131451,6.345589039336472,1.7,0.4200657258843998,6.063810144107877,-0.5221341581287453
1.4,0.94683935820607,6.617647892645229,1.7,0.4200657258843998,6.063810144107877,-0.5267736323216703
1.45,0.9512855209742895,6.889706745953988,1.8,0.4490624395901798,7.676199240190682,-0.5022230813841098
1.5,0.9570848637154455,7.161765599262745,1.8,0.4490624395901798,7.676199240190682,-0.5080224241252658
1.55,0.959404600811908,7.433824452571503,1.8,0.4490624395901798,7.676199240190682,-0.5103421612217283
1.6,0.9607577807848444,7.705883305880264,1.8,0.4490624395901798,7.676199240190682,-0.5116953411946646
1.65,0.9617243379083704,7.977942159189021,1.8,0.4490624395901798,7.676199240190682,-0.5126618983181906
1.7,0.9626908950318964,8.250001012497778,1.8,0.4490624395901798,7.676199240190682,-0.5136284554417166
1.75,0.9640440750048328,8.522059865806538,1.8,0.4490624395901798,7.676199240190682,-0.514981635414653
1.8,0.9652039435530639,8.794118719115295,1.9,0.472453121979509,9.705560350151568,-0.49275082157355493
1.85,0.9665571235260004,9.066177572424053,1.9,0.472453121979509,9.705560350151568,-0.4941040015464914
1.9,0.9679103034989368,9.338236425732811,1.9,0.472453121979509,9.705560350151568,-0.4954571815194278
1.95,0.9682969263483472,9.61029527904157,1.9,0.472453121979509,9.705560350151568,-0.4958438043688382
2.0,0.9694567948965784,9.882354132350327,1.9,0.472453121979509,9.705560350151568,-0.49700367291706943
