method,param,share_at_target,mean_headroom,median_ceiling
lognorm,1.0,0.2379663638121013,1.006366650158843,1.9175723828089484
lognorm,1.1,0.2530446549391069,1.3451683939368344,1.956172850958852
lognorm,1.2,0.2746955345060893,1.7657244383137014,2.0021642102899957
lognorm,1.3,0.2944132998260197,2.289131978273817,2.0443468508579152
lognorm,1.4,0.32476319350473615,2.9420835642417122,2.0949457089785297
lognorm,1.5,0.35743282427991496,3.7583784484479876,2.1435459180722645
lognorm,1.6,0.39261550357626135,4.780848023936808,2.1971961150087416
lognorm,1.7,0.4200657258843998,6.063810144107877,2.2366688143750446
lognorm,1.8,0.4490624395901798,7.676199240190682,2.289758331972587
lognorm,1.9,0.472453121979509,9.705560350151568,2.353607068486126
lognorm,2.0,0.5010632128358786,12.263148011399908,2.4217034861127287
lognorm,2.1,0.5312197950898898,15.490438763749054,2.493623999572456
lognorm,2.2,0.555577034602745,19.56745301866861,2.5679791165807813
lognorm,2.3,0.5834138797602938,24.723393756538776,2.638742571612989
lognorm,2.4,0.6060313164508022,31.250252967558417,2.707683537720348
lognorm,2.5,0.6269089503189639,39.52022103064459,2.7755956893072367
lognorm,2.6,0.6520394355306398,50.00797101258201,2.850804921045209
lognorm,2.7,0.6696307751788131,63.31919421198202,2.917833606093174
lognorm,2.8,0.6949545718151943,80.22715454582908,2.9919435501288794
lognorm,2.9,0.7113860429151363,101.7195325405723,3.0722627896330055
lognorm,3.0,0.7316837425091823,129.05847690386943,3.1632243519673313
lognorm,3.1,0.7488884593079451,163.85761435964892,3.2472960389333263
lognorm,3.2,0.7616470133384883,208.18084004410738,3.346149544442065
lognorm,3.3,0.774018944519621,264.66909014542676,3.4437245076696033
lognorm,3.4,0.7860042528513436,336.7030744155745,3.5462192671664567
lognorm,3.5,0.7976029383336555,428.6122331946486,3.647320304481607
lognorm,3.6,0.8093949352406727,545.9431293625858,3.7530166025030325
lognorm,3.7,0.8179006379277015,695.8042807072125,3.8516191012283225
lognorm,3.8,0.8283394548617823,887.3093284187519,3.954026466783703
lognorm,3.9,0.8372317803982215,1132.1467400523666,4.074596828339406
lognorm,4.0,0.8470906630581867,1445.3123698318425,4.199376363896386
lognorm,4.1,0.8550164314711,1846.0516742064892,4.3611662482950555
lognorm,4.2,0.8631355113087184,2359.071888597519,4.488718481463268
lognorm,4.3,0.8689348540498744,3016.101893547316,4.664327624547745
lognorm,4.4,0.8764739996133771,3857.899973139403,4.811993540052844
lognorm,4.5,0.8842064566015851,4936.838665638717,4.940196940348304
rolling_max,0.7,0.2897738256330949,2.8088239463226143,3.15
rolling_max,0.75,0.32070365358592695,3.0808827996313726,3.375
rolling_max,0.8,0.35144017011405376,3.3529416529401312,3.6
rolling_max,0.85,0.39319543785037697,3.625000506248889,3.8249999999999997
rolling_max,0.9,0.4538952252078098,3.8970593595576477,4.05
rolling_max,0.95,0.5519041175333462,4.1691182128664055,4.2749999999999995
rolling_max,1.0,0.7568142277208583,4.441177066175164,4.5
rolling_max,1.05,0.8403247631935047,4.713235919483923,4.7250000000000005
rolling_max,1.1,0.8797602938333655,4.985294772792681,4.95
rolling_max,1.15,0.9027643533732843,5.2573536261014375,5.175
rolling_max,1.2,0.9157162188285327,5.529412479410196,5.3999999999999995
rolling_max,1.25,0.9298279528320124,5.801471332718955,5.625
rolling_max,1.3,0.9375604098202204,6.073530186027713,5.8500000000000005
rolling_max,1.35,0.9421998840131451,6.345589039336472,6.075
rolling_max,1.4,0.94683935820607,6.617647892645229,6.3
rolling_max,1.45,0.9512855209742895,6.889706745953988,6.5249999999999995
rolling_max,1.5,0.9570848637154455,7.161765599262745,6.75
rolling_max,1.55,0.959404600811908,7.433824452571503,6.9750000000000005
rolling_max,1.6,0.9607577807848444,7.705883305880264,7.2
rolling_max,1.65,0.9617243379083704,7.977942159189021,7.425
rolling_max,1.7,0.9626908950318964,8.250001012497778,7.6499999999999995
rolling_max,1.75,0.9640440750048328,8.522059865806538,7.875
rolling_max,1.8,0.9652039435530639,8.794118719115295,8.1
rolling_max,1.85,0.9665571235260004,9.066177572424053,8.325000000000001
rolling_max,1.9,0.9679103034989368,9.338236425732811,8.549999999999999
rolling_max,1.95,0.9682969263483472,9.61029527904157,8.775
rolling_max,2.0,0.9694567948965784,9.882354132350327,9.0
