hour,n_test,ml_gbm_p998,cov_ml_gbm_p998,ewmq_p998,cov_ewmq_p998,test_p99,vm
0,72,1.2,1.0,1.0964565803482085,0.9861111111111112,1.1053333333333344,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
1,72,1.068637451058858,0.9861111111111112,1.0685214772535254,0.9861111111111112,1.0860000000000005,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
2,72,1.068637451058858,0.9861111111111112,1.0592790971167345,0.7222222222222222,1.1053333333333344,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
3,72,1.1448123846788978,0.9861111111111112,1.1331875201320023,0.9861111111111112,1.1053333333333344,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
4,66,1.134318725529429,1.0,1.0746386559787588,1.0,1.0666666666666669,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
5,72,1.0676481172939782,1.0,1.0666671189070018,1.0,1.0666666666666669,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
6,72,1.1338240586469888,1.0,1.0667870788645992,0.9722222222222222,1.1333333333333333,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
7,72,1.2004907253136554,1.0,1.0672175716490093,0.9861111111111112,1.1053333333333344,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
8,72,1.134318725529429,0.9861111111111112,1.0814288481928218,0.9722222222222222,1.152666666666667,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
9,71,1.134318725529429,0.9859154929577465,1.0968637899277882,0.9859154929577465,1.1066666666666665,../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1203.csv
