hour,n,lam,io,sigma,sig_between,sig_within,frac_between,bimodal,gmm_sep,skew,frac90,p95,trace,vm
0,135,2.5379541446208114,1.1577425044091711,0.3570091027696767,0.20880474217084025,0.2895791413541012,0.3420756306131302,True,1.0376949342300623,-1.875265631714535,0.0,0.4,fastStorage,1044.csv
1,163,211.26012269938647,1.1595092024539875,0.9272608669103181,0.22130859376775386,0.9004638924619984,0.056962979034550894,True,2.138295605964725,0.955889765136753,0.0,3.2,fastStorage,1044.csv
2,139,2.399520383693046,1.2019184652278176,0.3808616335983893,0.2053906005860662,0.32073397877077003,0.2908216123858461,True,1.0242770188446495,-1.60508455000441,0.0,0.4,fastStorage,1044.csv
3,131,2.614758269720102,1.2208651399491095,0.3742142246232612,0.20002607451850818,0.3162686443881289,0.285714736199781,True,1.100880338873651,-2.206537798094464,0.0,0.4,fastStorage,1044.csv
4,132,2.6537878787878784,1.19004329004329,0.34097498622819167,0.17659371009494118,0.29168236626203403,0.26822880864251963,True,0.6481161025837126,-2.5655806452517815,0.0,0.4,fastStorage,1044.csv
5,127,2.4875890513685786,1.2327334083239592,0.3487584078196187,0.19260113193812614,0.2907528692911353,0.30497784950275636,True,0.7825557152104701,-3.09429278861198,0.0,0.4,fastStorage,1044.csv
6,137,21.86371220020855,1.1479318734793187,0.48917873438315174,0.26459008124788885,0.41144613630211385,0.2925580018423515,True,1.0685044647360562,0.8934752790936152,0.0,0.4,fastStorage,1044.csv
7,134,2.5800995024875624,1.1482587064676617,0.37986867036542593,0.2074689360111493,0.31820881087046954,0.29829035166643625,True,0.7554728733863176,-2.0494339530579997,0.0,0.4,fastStorage,1044.csv
8,138,2.705314009661836,1.153623188405797,0.3969539144949091,0.21287198318160683,0.33504914417016696,0.2875787782690693,True,1.0349041398696646,-1.8034549993203253,0.0,0.4,fastStorage,1044.csv
9,130,2.941941391941392,1.1581684981684983,0.3407010793310128,0.1799453558592088,0.2893041554523885,0.27895507467314423,False,1.046150553437794,-2.0733507783624274,0.0,0.4,fastStorage,1044.csv
10,143,12.29300699300699,1.1376623376623374,0.4135405761720788,0.25243836368835854,0.3275525617043453,0.3726271164898063,True,1.0430378930779103,-0.41189344145776985,0.0,0.4257142857142858,fastStorage,1044.csv
11,123,2.332946186604723,1.1692992644212155,0.25617408319908724,0.13100560777610928,0.22014243487820578,0.26152270002329603,False,1.0119025613667847,-3.2513494786094292,0.0,0.4,fastStorage,1044.csv
12,138,2.7222222222222223,1.1415458937198069,0.4109735023990424,0.18101928698925898,0.36895966908598016,0.1940090802392121,True,0.7712842469460012,-1.8915149383875578,0.0,0.4,fastStorage,1044.csv
13,139,2.8239808153477215,1.1486810551558753,0.38773594161381997,0.22834803232956255,0.3133629469965661,0.3468346086502363,True,0.7536483607289922,-1.88507154559225,0.0,0.4,fastStorage,1044.csv
14,134,2.580597014925373,1.1457711442786067,0.3711402207193257,0.19910051002261245,0.3132156610776757,0.28778536306530295,True,1.0986405753259778,-2.2179102172525686,0.0,0.4,fastStorage,1044.csv
15,131,4.498727735368958,1.1618320610687023,0.36535805313978864,0.20132488689752737,0.30488489124552315,0.3036390043983598,True,1.0406143470461462,-1.8386856334784716,0.0,0.4,fastStorage,1044.csv
16,134,2.475124378109453,1.1497512437810944,0.3800911301406629,0.21387019973959223,0.31421140156740546,0.31661032979184645,True,0.8076088332841669,-2.4719961612439754,0.0,0.4,fastStorage,1044.csv
17,135,2.492134038800705,1.1580952380952383,0.37170208610287214,0.18882759299649235,0.3201664894025888,0.25807201774214356,True,1.0407149824307131,-1.7566475810850481,0.0,0.4,fastStorage,1044.csv
18,142,7.317270288397048,1.1590207914151576,0.4245093760148146,0.20559278794258964,0.37140249847097223,0.23455310042698474,True,1.048069798296369,-1.7178924464754526,0.0,0.4,fastStorage,1044.csv
19,137,2.3949600278067433,1.1522419186652764,0.3389093676434944,0.22308701294155067,0.25513083728418573,0.43329275830419883,True,0.6027156780893882,-2.0739029816179637,0.0,0.4,fastStorage,1044.csv
20,133,2.317221625492303,1.1665950590762622,0.3994589726739192,0.21559052919495608,0.33628588220611005,0.2912829039092822,True,1.0664096437997488,-2.077743131457938,0.0,0.4,fastStorage,1044.csv
21,136,2.4543417366946776,1.1760854341736693,0.37693075506404194,0.17174820807358587,0.3355284595033051,0.20761622023225149,True,1.040782509292225,-1.7362630337173435,0.0,0.4,fastStorage,1044.csv
22,133,2.3492302184031506,1.1725026852846403,0.3450585077853545,0.20353985884651737,0.27863398869447953,0.34794728995324936,True,1.0514902832729205,-2.095205633076012,0.0,0.4,fastStorage,1044.csv
23,176,46.659307359307356,1.1405844155844156,0.8217987674337642,0.3172483821316711,0.7580941090593512,0.14902799580363885,False,1.5899080291220415,0.31634484443156563,0.0,1.9,fastStorage,1044.csv
0,359,22.943294866693194,1285.6462841707967,0.4564996468654316,0.13678968755467608,0.43552325881284215,0.08978955585206504,True,0.8999328448151429,4.089773520494428,0.0,9.036666666666664,fastStorage,879.csv
1,360,1.509259259259259,840.0676655982905,0.16206259032772158,0.06988916832896123,0.14621828659239935,0.18597483950140767,True,0.39087233245843134,1.6511921641053615,0.0,5.4,fastStorage,879.csv
2,360,0.6552777777777778,668.2491522520689,0.14889743056889476,0.0703367155816239,0.13123715659525922,0.22314633724045366,False,0.394382002479879,3.2387413675798795,0.0,4.4,fastStorage,879.csv
3,360,0.6275925925925926,661.6447342472343,0.09763756690190334,0.054460540060374665,0.08103791734031658,0.3111214761207286,True,0.14647864432245972,0.7920638495001039,0.0,4.133333333333333,fastStorage,879.csv
