vm,hour,n,mean,std,aic_lognorm,aic_norm,aic_gamma,aic_weibull_min,ksp_lognorm,ksp_norm,ksp_gamma,ksp_weibull_min,best_aic
2013-9/378,0,160,0.2746130952380952,0.6108805867224874,-199.0002872490081,300.3471216684885,-99.71150161254715,-89.79182042323046,1.6107779632075265e-05,5.1420379216978686e-20,4.505934953086992e-08,1.53237965106285e-07,lognorm
2013-9/378,1,145,0.2980952380952381,0.47286007800827645,-124.25175639732873,198.29500642832397,-68.16327428197235,-57.725065276746896,0.0002723491148833873,4.629154009395349e-13,2.7757808852876344e-06,9.029743869297663e-05,lognorm
2013-9/378,2,150,0.3472698412698413,0.7996813607053826,-106.11882930723564,362.6189810290086,-14.536879626506131,-17.16535315224543,0.0002606772892025716,3.3592975146525825e-18,6.086137214752626e-08,2.5626103057299237e-06,lognorm
2013-9/378,3,159,0.2563342318059299,0.46035428823168195,-194.50045979916575,208.53112522367917,-118.37279496136233,-110.89264835008728,0.0013675540610164063,6.361239901763018e-17,2.71366352443153e-07,6.372071525630116e-08,lognorm
2013-9/378,4,117,0.31070411070411075,0.6093024329564412,-102.35184034404617,220.09853305402157,-36.08618257700711,-38.204386490108,0.00021567875802606327,6.75587720100435e-13,3.125875236436624e-08,6.9485443900089785e-06,lognorm
2013-9/378,5,125,0.27554285714285726,0.6263494186115378,-155.9453810043009,241.7729115739285,-69.36847192591563,-71.84164443938316,4.326117451609863e-05,8.286573871520341e-16,1.9324912714582703e-10,1.1236730086454357e-07,lognorm
2013-9/378,6,143,0.29796869796869796,0.5781013685359087,-137.22135589671984,253.0866908838254,-57.17939829525312,-59.07398381555625,0.0003916961901721068,1.1533515286774787e-15,1.5187044600400746e-08,2.2324215930177328e-07,lognorm
2013-9/378,7,142,0.27632461435278327,0.47646033388508635,-149.68903328991883,196.42923506994225,-83.56505357371043,-77.2789636290586,0.00015324136433439304,2.8263000579703187e-14,1.579755346998215e-08,2.627587666301485e-06,lognorm
2013-9/378,8,157,0.3992417349105247,1.4892560722680466,-97.30267732994803,574.6055879106486,27.545684603655147,4.1833681395407964,2.3203829674715067e-05,1.394264746561943e-24,5.977443423963357e-10,1.495522404199014e-08,lognorm
2013-9/378,9,159,0.37792752321054207,0.8588908371077443,-92.79618760088582,406.85037759177726,12.10255046719086,-0.43357731285895795,0.00046947284014723414,9.270167917482045e-21,2.1243425945541954e-09,1.0482683748434474e-07,lognorm
2013-9/378,10,200,0.7417380952380952,2.0646465317386435,151.65469880999945,861.5590295581417,274.0951038702234,244.6088220557773,0.040407982924894004,2.508374286639184e-25,3.245052609146579e-07,2.021012782220103e-05,lognorm
2013-9/378,11,179,2.7050279329608933,14.00131742656892,96.45996372763832,1456.796205783965,379.1739036551254,246.67901023641303,4.2794871924937706e-07,2.496752661702735e-39,4.857360871446658e-28,7.618564885010749e-16,lognorm
2013-9/378,12,162,0.29958847736625516,0.4710113400980636,-135.7265780295183,219.80519756730246,-74.9974714068617,-63.45011929282967,0.0001962191643553308,2.194569342281973e-14,1.0544888534086542e-06,3.574983529017918e-05,lognorm
2013-9/378,13,191,0.3389179755671902,0.5418124396306301,-118.42498854130446,311.93140079035254,-36.28403298373139,-27.370933371682224,2.0845379582966506e-07,1.5024483692169723e-16,4.4021094471038476e-11,1.1536819651038183e-07,lognorm
2013-9/378,14,217,0.6678077682685978,2.4701958450700836,-3.231820161728109,1012.2844110682627,226.0752619281989,160.62821414720932,2.6859889468635347e-07,7.0052753948756465e-37,6.080160885812642e-22,3.2792885016943597e-12,lognorm
2013-9/378,15,242,4.387485242030698,6.821310012334636,984.8369935195399,1620.0711941386128,1048.1194769912397,1025.1400898581132,7.784115155614117e-05,1.454576470391574e-26,3.528864080801241e-08,4.7865981062107525e-06,lognorm
2013-9/378,16,184,0.3485507246376811,0.5909219245018439,-114.3535181812241,332.57511320920213,-25.799465614229977,-15.882670223936909,4.8386096676204904e-05,2.7214882742422072e-18,1.7864682825070588e-07,9.994308519785189e-08,lognorm
2013-9/378,17,153,0.27136632430750074,0.47128754706523324,-179.84519848765314,207.9954095759326,-101.14751294987947,-89.35229861545602,1.1138480825796527e-05,5.631359642949747e-17,5.657948878471488e-10,2.8082431769915104e-07,lognorm
2013-9/378,18,159,0.26199733180865253,0.44040732691805684,-187.46524065967043,194.44488809449857,-122.14625985325816,-105.6723122182712,3.653519335835924e-05,8.384030231144511e-16,7.773838308025389e-07,4.4988347544819114e-06,lognorm
2013-9/378,19,151,0.2839798170923999,0.5512323673983298,-155.211311532063,252.64858755569102,-81.10485440944073,-74.27031750369116,0.0002104868986700639,1.0128566526382236e-16,5.451988952223421e-07,1.2975002969371571e-06,lognorm
2013-9/378,20,129,0.2911037283130306,0.5795762738028086,-128.96666656313215,229.35797631772874,-61.92462036993551,-56.57789176904713,2.0658266069019235e-05,1.426618179243557e-14,1.51445308539079e-06,1.227206029915118e-05,lognorm
2013-9/378,21,140,0.2744217687074829,0.48292058474968064,-152.80600278776356,197.48993259355498,-84.9982281393866,-78.06516857290543,6.085470196128773e-05,2.1948821863604193e-14,4.689704850152793e-09,1.0264793911745645e-06,lognorm
2013-9/378,22,165,0.35154401154401155,0.424442496824647,-54.30890832356496,189.44673064831494,-17.891374015688786,-12.199216656941925,0.01747296095474339,1.190341968980376e-09,0.00012577327939240464,0.0007987963481764944,lognorm
2013-9/378,23,145,0.3128108672936259,0.6687893199903212,-136.1600073777498,298.8291806159436,-43.7438274994211,-47.29348321373277,1.3516635157455425e-05,1.5184468894339351e-18,1.7558393586982452e-10,2.3008172451056297e-07,lognorm
2013-7/304,0,348,3.4773193760262733,1.1927360513449796,925.3071777435076,1114.251129195632,980.0876142540958,1116.015693579325,2.5530054267325125e-12,8.881704581137945e-21,4.089631867037659e-15,2.114327678312857e-18,lognorm
2013-7/304,1,348,34.959003831417625,36.50056646044469,3129.5197671725455,3495.321353943304,3136.7472337502186,3136.553264167548,4.1040767108201494e-19,2.8512852868041606e-18,5.487973358264662e-20,8.757635656337772e-20,lognorm
2013-7/304,2,348,5.370963327859879,6.470889375399732,1625.7752674497165,2291.231457209933,1817.83920640576,1858.8337694180154,1.032036546106376e-30,1.6663729858915367e-52,1.357536576782459e-41,8.86095479747417e-35,lognorm
2013-7/304,3,348,3.06256157635468,0.39255440055162166,333.0760450860048,340.76543385279604,333.18884800066553,412.38809765759424,3.395019217560676e-05,0.0010251570205025062,0.00012162160299776757,3.778653893109725e-05,lognorm
2013-7/304,4,348,3.089614121510673,0.3812128449710571,315.14755121993073,320.3606206206613,314.84313949353657,379.60938011669185,0.00035647089577873646,0.008439574488245236,0.0011499043874728305,0.0010869956010705747,gamma
2013-7/304,5,347,3.079731027857829,0.39180157876870353,332.64068328000735,338.46551974083326,332.1616652894881,406.22126226056736,4.567657219735887e-05,0.000983603186573888,0.00016846189944733572,1.709429936503574e-05,gamma
2013-7/304,6,348,3.7386288998357964,4.115169291801619,1123.7211797652114,1976.1984806339506,1385.1474078339263,1542.7848114293515,6.452959216804007e-23,1.8583580888359918e-52,5.83848802032284e-34,9.835211935769426e-40,lognorm
2013-7/304,7,348,3.7387473159024887,3.954625809874561,1103.7546927408298,1948.501864550893,1361.4022203721745,1531.7551140532578,1.4555120469021827e-17,2.3151640882021345e-50,4.638053867923163e-29,1.2067240333301941e-37,lognorm
