vm,hour,n_train,n_test,test_p99,test_max,ctop_lognorm_ctop,cov_lognorm_ctop,ctop_empirical_p998,cov_empirical_p998,ctop_gauss_meanksd,cov_gauss_meanksd,ctop_rolling_max,cov_rolling_max,ctop_ewmq_p998,cov_ewmq_p998,ctop_ml_gbm_p998,cov_ml_gbm_p998
m_1932,0,1456,718,51.83000000000004,57.0,78.56706378360546,1.0,70.0,1.0,65.88306474240422,1.0,73.0,1.0,56.574193548387115,0.9986072423398329,,
m_1932,1,2069,717,56.0,63.0,63.05729494175438,1.0,56.728000000000065,0.9944211994421199,54.5522886596779,0.9860529986052998,61.0,0.99721059972106,50.29174603174605,0.9748953974895398,,
m_1932,2,1794,719,55.82000000000005,64.0,61.64505295923583,0.9972183588317107,73.0,1.0,55.062838900988766,0.9888734353268428,77.0,1.0,61.63806451612904,0.9972183588317107,,
m_1932,3,1766,718,58.49000000000012,73.0,72.56782834922441,0.9986072423398329,66.0,0.9944289693593314,62.03473756263103,0.9902506963788301,73.0,1.0,55.90031746031747,0.9860724233983287,,
m_1932,4,1939,710,63.90999999999997,83.0,82.31893744543616,0.9985915492957746,85.12400000000002,1.0,70.77103684747426,0.9943661971830986,88.0,1.0,62.6536507936508,0.9845070422535211,,
m_1932,5,2076,719,86.0,93.0,102.85128475622471,1.0,84.0,0.9707927677329624,84.59512321184108,0.9707927677329624,85.0,0.9819193324061196,70.95761904761908,0.9235048678720446,,
m_1932,6,2102,718,83.83000000000004,86.0,99.75841285636223,1.0,87.0,1.0,92.17507197075979,1.0,88.0,1.0,83.12888888888888,0.9888579387186629,,
m_1932,7,2062,712,74.88999999999999,76.0,83.29959074946336,1.0,79.87800000000016,1.0,77.26649297113225,1.0,83.0,1.0,72.5,0.9775280898876404,,
m_1932,8,2131,717,73.0,78.0,88.2559581579698,1.0,77.0,0.99721059972106,79.38880024377991,1.0,82.0,1.0,72.67603174603178,0.9874476987447699,,
m_1932,9,2080,717,69.0,71.0,82.78979386789105,1.0,71.0,1.0,75.37749862916695,1.0,74.0,1.0,68.30539682539685,0.9860529986052998,,
m_1932,10,1769,716,67.0,72.0,86.56947839386288,1.0,76.92799999999988,1.0,75.48793816967952,1.0,79.0,1.0,61.52387096774193,0.9650837988826816,,
m_1932,11,1766,719,68.0,72.0,86.30973561551674,1.0,80.47000000000003,1.0,78.03634960163717,1.0,88.0,1.0,67.20548387096774,0.9847009735744089,,
m_1932,12,1998,707,60.0,66.0,84.62479975930552,1.0,75.00600000000009,1.0,72.22162270826007,1.0,85.0,1.0,64.0761904761905,0.9971711456859972,,
m_1932,13,2066,622,57.0,69.0,80.61368034052695,1.0,66.0,0.9983922829581994,69.3197238984787,1.0,72.0,1.0,61.3025396825397,0.9967845659163987,,
m_1932,14,1930,720,54.0,61.0,76.9624828479896,1.0,80.14200000000005,1.0,68.37567958724321,1.0,83.0,1.0,62.217619047619074,1.0,,
m_1932,15,1574,700,60.00999999999999,65.0,68.33256744657878,1.0,67.85400000000004,1.0,61.402285984583685,0.9928571428571429,78.0,1.0,53.431746031746044,0.9285714285714286,,
m_1932,16,1439,707,63.87999999999988,88.0,53.306669103333405,0.9646393210749646,52.0,0.9575671852899575,48.79949140004352,0.9278642149929278,53.0,0.9646393210749646,46.63733333333336,0.9080622347949081,,
m_1932,17,1588,720,58.0,73.0,67.4117689129259,0.9986111111111111,72.0,0.9986111111111111,57.96153227854017,0.9819444444444444,82.0,1.0,53.758709677419354,0.9416666666666667,,
m_1932,18,1467,715,62.860000000000014,66.0,59.51732602579638,0.9776223776223776,57.475999999999885,0.965034965034965,51.41556018660625,0.9146853146853147,72.0,1.0,43.3141935483871,0.7398601398601399,,
m_1932,19,1438,716,56.85000000000002,59.0,60.916452667196275,1.0,55.75599999999986,0.9804469273743017,52.106244678448945,0.973463687150838,76.0,1.0,39.77866666666667,0.755586592178771,,
m_1932,20,1842,706,50.0,67.0,57.431014151802906,0.9985835694050992,53.63599999999997,0.9957507082152974,51.00309734628182,0.9943342776203966,59.0,0.9985835694050992,45.20634920634921,0.9376770538243626,,
m_1932,21,2146,718,91.0,91.0,64.32451687395346,0.5738161559888579,65.0,0.5738161559888579,56.647690590625324,0.5668523676880223,74.0,0.5738161559888579,51.931269841269845,0.564066852367688,,
m_1932,22,2088,707,92.0,92.0,60.171257841928906,0.5091937765205092,55.652000000000044,0.5091937765205092,51.85900527194751,0.5091937765205092,65.0,0.5091937765205092,45.426031746031754,0.5091937765205092,,
m_1932,23,1930,716,93.0,94.0,55.443123270239454,0.5013966480446927,61.14200000000005,0.5013966480446927,49.32619293871808,0.5013966480446927,76.0,0.5013966480446927,42.12031746031747,0.4958100558659218,,
m_1933,0,2145,719,7.0,8.0,8.423218770367187,1.0,8.0,1.0,7.80457988778427,0.9902642559109874,9.0,1.0,7.666031746031747,0.9902642559109874,,
m_1933,1,2026,718,7.0,8.0,7.192746759237526,0.9986072423398329,7.9500000000000455,0.9986072423398329,6.8783053519324096,0.967966573816156,9.0,1.0,7.0,0.9986072423398329,,
m_1933,2,1876,718,7.0,9.0,7.1576019849837245,0.9958217270194986,7.25,0.9958217270194986,6.78693226665127,0.9707520891364902,9.0,1.0,6.939047619047619,0.9707520891364902,,
m_1933,3,2118,718,7.0,7.0,8.095624698247786,1.0,8.0,1.0,7.311910343693267,1.0,8.0,1.0,6.7587301587301685,0.9777158774373259,,
m_1933,4,2117,712,7.0,8.0,7.117920141103567,0.9971910112359551,7.0,0.9971910112359551,6.59896613488552,0.9775280898876404,9.0,1.0,6.340317460317468,0.9775280898876404,,
m_1933,5,2064,720,7.0,7.0,7.039567484550192,1.0,7.0,1.0,6.6947492731769565,0.9763888888888889,8.0,1.0,6.746031746031746,0.9763888888888889,,
m_1933,6,1792,713,7.0,8.0,7.470197988688333,0.9943899018232819,8.0,1.0,7.098579924741269,0.9943899018232819,8.0,1.0,7.0,0.9943899018232819,,
