vm,hour,n_train,n_test,test_p99,test_max,ctop_lognorm_ctop,cov_lognorm_ctop,ctop_empirical_p998,cov_empirical_p998,ctop_gauss_meanksd,cov_gauss_meanksd,ctop_rolling_max,cov_rolling_max,ctop_ewmq_p998,cov_ewmq_p998,ctop_ml_gbm_p998,cov_ml_gbm_p998
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/491.csv,0,62,15,0.3719999999999999,0.4,1.193965008032091,1.0,2.2585333333333333,1.0,1.347997097583366,1.0,2.2666666666666666,1.0,1.1745185882900164,1.0,,
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/491.csv,10,79,19,1.8640000000000008,2.2,1.321057129773451,0.9473684210526315,2.424114285714286,1.0,1.3188933003117096,0.9473684210526315,2.428571428571429,1.0,1.4074910559198923,0.9473684210526315,,
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/491.csv,12,75,27,1.4493333333333331,1.4666666666666666,6.517965988599996,1.0,2.227200000000001,1.0,2.1759438302111533,1.0,2.2666666666666666,1.0,1.0910222079806315,0.8148148148148148,,
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/491.csv,22,90,22,0.25266666666666654,0.2666666666666666,1.9418596818514184,1.0,4.3490666666666735,1.0,2.116392153209788,1.0,4.8,1.0,0.25058443061615365,0.9545454545454546,,
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/491.csv,23,63,13,2.0346666666666646,2.2666666666666666,1.073502034590428,0.9230769230769231,2.0925333333333316,0.9230769230769231,1.1184224844276462,0.9230769230769231,2.2,0.9230769230769231,0.7596917562724017,0.9230769230769231,,
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/185.csv,0,288,71,92.57333333333335,92.66666666666666,882.22249339883,1.0,97.07839999999999,1.0,145.4599949961385,1.0,97.11666666666666,1.0,15.13167160211036,0.8309859154929577,96.49219989231378,1.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/185.csv,1,288,72,92.63333333333334,92.63333333333334,550.8787094595782,1.0,97.14723333333333,1.0,133.24015899322455,1.0,97.23333333333332,1.0,15.245300797589666,0.8333333333333334,94.90084162509794,1.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/185.csv,2,288,72,92.74783333333333,92.78333333333336,354.2752619637905,1.0,96.76389999999999,1.0,120.84052134676588,1.0,96.85,1.0,3.3009567047033728,0.8333333333333334,95.43673959839722,1.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/185.csv,3,288,72,92.7575,92.81666666666666,221.82199046014634,1.0,95.3926,1.0,107.65484011437576,1.0,95.45,1.0,3.2637889283571004,0.8333333333333334,93.84697160407542,1.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/185.csv,4,288,72,92.88333333333334,92.88333333333334,205.70634046026655,1.0,96.4352,1.0,107.1582325508008,1.0,96.55,1.0,2.594079124634214,0.8194444444444444,68.36330319164352,0.8333333333333334
